species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	diet 1	diet 2	diet source	home range	female range	male range	daily range	daily movement	population density	home range habitat
Abeillia abeillei	bird	2	1			1			15.3	15.3	-92.7	-92.7	26.85	26.85	1993.0	1993.0	0.002774	0.002774	0.002774	0.002774	0.002774		0.013333	LC	2.7	1	species														
Accipiter bicolor	bird	2	2	9	0.0000	2	24.30	25.95	-3.4	-27.2	-54.9	-65.6	18.800	25.05	1700.0	1920.0	0.000842	0.000858	0.000874	0.000874	0.001042	0.000000	0.000936	LC	212	1	species					carnivore		species							
Accipiter striatus	bird	8	5	44	0.0455	4	18.51	38.89	20.1	-4.3	-73.7	-98.4	13.6	25.6	1107.0	1873.0	0.005025	0.006886	0.007353	0.013986	0.015625	0.000312	0.007812	LC	98.8670824895729	2	species					carnivore		species							
Accipiter superciliosus	bird	1	1			1			-2.4	-2.4	-59.7	-59.7	26.700	26.700	2500.0	2500.0	0.001592	0.001592	0.001592	0.001592	0.001592		0.000744	LC	73.9	1	species					carnivore		species							
Acrochordopus burmeisteri	bird	1	1			1			-27.2	-27.2	-65.6	-65.6	18.800	18.800	1700.0	1700.0	0.000706	0.000706	0.000706	0.000706	0.000706		0.001667									invertivore		species							
Actitis macularius	bird	2	1			1			15.8	15.8	-88.5	-88.5	26.600	26.600	3500.0	3500.0	0.000522	0.000522	0.000522	0.000522	0.000522			LC	40.4	1	species					invertivore		species							
Adelomyia melanogenys	bird	177	7	9	0.4444	5	10.60	22.45	10.4	-7.4	-67.7	-79.0	13.000	16.800	895.0	2630.0	0.077632	0.082996	0.102703	0.107737	0.200000	0.041692	0.134498	LC	4.9376107582514	2	species					nectarivore	invertivore	species							
Agelasticus cyanopus	bird	1	1			1			-19.6	-19.6	-56.9	-56.9			1000.0	1000.0	0.005348	0.005348	0.005348	0.005348	0.005348		0.008065	LC																	
Aglaeactis castelnaudii	bird	6	1			1			-14.1	-14.1	-73.0	-73.0	11.7	11.7	677.0	677.0	0.042254	0.042254	0.042254	0.042254	0.042254			LC	6.7	1	species														
Aglaeactis cupripennis	bird	11	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.018900	0.018900	0.018900	0.018900	0.018900		0.056122	LC	7.6	1	species														
Aglaiocercus kingi	bird	43	1			1			10.4	10.4	-67.7	-67.7	15.500	15.500	1700.0	1700.0	0.116216	0.116216	0.116216	0.116216	0.116216		0.286667		5.1	1	species					nectarivore	invertivore	species							
Agriornis livida	bird	1	1			1			-33.4	-33.4	-70.5	-70.5	14.800	14.800	434.0	434.0	0.005181	0.005181	0.005181	0.005181	0.005181		0.009091									carnivore		species							
Alectrurus tricolor	bird	1	1			1			-21.8	-21.8	-46.6	-46.6	19.5	19.5	1500.0	1500.0	0.001957	0.001957	0.001957	0.001957	0.001957		0.002786	VU	16	1	species														
Amazilia alticola	bird	17	1			1			-4.3	-4.3	-79.0	-79.0					0.018785	0.018785	0.018785	0.018785	0.018785		0.070833		4.3	1	species					nectarivore	invertivore	genus							
Amazilia amabilis	bird	5	4	8	0.1250	3	4.52	8.07	13.7	9.2	-79.7	-85.8	24.400	27.000	2274.0	4260.0	0.002256	0.002339	0.002413	0.003787	0.005128	0.000286	0.001471	LC								nectarivore		species							
Amazilia amazilia	bird	1	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.001718	0.001718	0.001718	0.001718	0.001718		0.005102	LC	4.3	1	species					nectarivore	invertivore	genus							
Amazilia beryllina	bird	2	1			1			15.8	15.8	-88.5	-88.5	26.600	26.600	3500.0	3500.0	0.000522	0.000522	0.000522	0.000522	0.000522			LC								nectarivore		species							
Amazilia candida	bird	94	10	12	0.4167	6	3.05	9.38	17.6	13.7	-85.8	-92.7	24.400	27.000	1500.0	3500.0	0.012989	0.009930	0.007635	0.025761	0.073446	0.012858	0.034783	LC								nectarivore		species							
Amazilia chinogaster	bird	1	1			1			-24.8	-24.8	-64.7	-64.7	20.000	20.000	739.0	739.0	0.007812	0.007813	0.007812	0.007812	0.007812		0.022727									nectarivore	invertivore	genus							
Amazilia chionogaster	bird	29	2			1		0	-27.2	-27.2	-65.6	-65.6	18.800	18.800	1700.0	1700.0	0.009319	0.008008	0.009832	0.009832	0.015537		0.024167	LC								nectarivore		species							
Amazilia chionopectus	bird	5	1			1			7.8	7.8	-61.1	-61.1	26.000	26.000	1631.0	1631.0	0.002047	0.002047	0.002047	0.002047	0.002047											nectarivore	invertivore	genus							
Amazilia cyanocephala	bird	2	1			1			17.2	17.2	-88.7	-88.7	25.75	25.75	2500.0	2500.0	0.008403	0.008403	0.008403	0.008403	0.008403			LC								nectarivore		species							
Amazilia cyanura	bird	55	2			1		0	15.3	15.3	-92.7	-92.7	26.85	26.85	1993.0	1993.0	0.061798	0.066940	0.067588	0.067588	0.076923		0.277778	LC								nectarivore	invertivore	genus							
Amazilia edward	bird	19	3			1		0.52	9.3	9.0	-79.1	-79.6	27.000	27.000	2000.0	2000.0	0.036609	0.026467	0.023256	0.041390	0.059524		0.454545	LC								nectarivore	invertivore	genus							
Amazilia fimbriata	bird	222	7	22	0.1364	6	19.42	56.44	10.2	-20.8	-35.4	-67.5	15.500	26.000	1400.0	2115.0	0.116781	0.047811	0.118280	0.327011	0.381818	0.007569	0.114286	LC								nectarivore		species							
Amazilia lactea	bird	21	3	5	0.2000	3	8.28	11.96	-8.5	-14.7	-66.8	-74.9	25.700	26.100	1951.0	2400.0	0.013566	0.021959	0.015748	0.048278	0.080808	0.006101	0.003659	LC								nectarivore		species							
Amazilia rutila	bird	90	3	4	0.0000	3	2.74	4.85	15.8	14.3	-88.5	-92.7	25.000	26.85	1993.0	3500.0	0.018703	0.019084	0.015393	0.061960	0.108527	0.012497	0.020000	LC	5.24404424085076	2	species					nectarivore		species							
Amazilia saucerrottei	bird	7	1			1			13.7	13.7	-85.8	-85.8	24.400	24.400	2274.0	2274.0	0.017949	0.017949	0.017949	0.017949	0.017949											nectarivore	invertivore	genus							
Amazilia tobaci	bird	25	5	4	0.7500	4	2.30	3.97	10.7	10.4	-63.7	-67.7	15.500	27.300	430.0	1700.0	0.004746	0.007185	0.004267	0.020408	0.037594	0.005901	0.017986	LC								nectarivore	invertivore	species							
Amazilia tzacatl	bird	194	11	25	0.2800	6	4.34	13.84	17.6	9.0	-79.1	-89.1	24.400	27.000	1500.0	3500.0	0.030199	0.032805	0.033708	0.062106	0.186441	0.013686	0.048866	LC	4.79583152331272	2	species					nectarivore		species							
Amazilia versicolor	bird	11	3	2	0.0000	3	4.85	8.61	-17.0	-23.6	-44.2	-46.6	18.000	23.000	1400.0	1700.0	0.007157	0.005975	0.006144	0.008106	0.010067	0.004517	0.015590	LC								nectarivore		species							
Amazona aestiva	bird	1	1			1			-19.6	-19.6	-56.9	-56.9			1000.0	1000.0	0.005714	0.005714	0.005714	0.005714	0.005714		0.008065	LC	451	1	species					frugivore		species							
Amazona rhodocorytha	bird	1	1			1			-23.2	-23.2	-44.2	-44.2	23.000	23.000	1700.0	1700.0	0.003448	0.003448	0.003448	0.003448	0.003448		0.003236	EN								frugivore		species							
Amblycercus holosericeus	bird	30	9	28	0.2500	7	9.77	32.17	17.1	-4.3	-79.0	-95.1	18.500	28.4	1050.0	3500.0	0.004462	0.008084	0.005333	0.031915	0.040000	0.001893	0.020000	LC	68.0205851195063	2	species					invertivore	frugivore	species							
Ammodramus aurifrons	bird	23	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.017398	0.017398	0.017398	0.017398	0.017398		0.004158	LC	17.8	1	species					granivore		genus							
Ammodramus humeralis	bird	67	4	10	0.0000	4	7.74	19.61	-15.6	-23.8	-46.6	-56.9	19.5	22.55	1000.0	1552.0	0.039715	0.020486	0.028086	0.047130	0.053165	0.004735	0.045549	LC	16.5	1	species					granivore		species							
Ampelion rubrocristatus	bird	13	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.022337	0.022337	0.022337	0.022337	0.022337		0.066327	LC	66.3	1	species					frugivore		species							
Anabacerthia amaurotis	bird	4	1			1			-23.6	-23.6	-46.6	-46.6	18.000	18.000	1400.0	1400.0	0.006711	0.006711	0.006711	0.006711	0.006711		0.028571	NT	19.2	1	species					invertivore		species							
Anabacerthia lichtensteini	bird	5	2			1		0	-23.2	-23.2	-44.2	-44.2	23.000	23.000	1700.0	1700.0	0.008666	0.008491	0.008675	0.008675	0.010453		0.009107									invertivore		species							
Anabacerthia ruficaudata	bird	1	1			1			-9.8	-9.8	-67.7	-67.7	26.000	26.000	1875.0	1875.0	0.009804	0.009804	0.009804	0.009804	0.009804		0.012500									invertivore		species							
Anabacerthia striaticollis	bird	1	1			1			4.7	4.7	-75.6	-75.6	16.800	16.800	2630.0	2630.0	0.016667	0.016667	0.016667	0.016667	0.016667		0.012500	LC	24.8	1	species					invertivore		species							
Anabazenops fuscus	bird	1	1			1			-22.5	-22.5	-43.0	-43.0					0.006173	0.006173	0.006173	0.006173	0.006173			LC								invertivore		species							
Anairetes alpinus	bird	7	1			1			-14.1	-14.1	-73.0	-73.0	11.7	11.7	677.0	677.0	0.049296	0.049296	0.049296	0.049296	0.049296			EN	9	1	species					invertivore		species							
Anairetes flavirostris	bird	5	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.008591	0.008591	0.008591	0.008591	0.008591		0.025510	LC	6	1	species					invertivore		species							
Anairetes nigrocristatus	bird	1	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.001718	0.001718	0.001718	0.001718	0.001718		0.005102	LC								invertivore		genus							
Anairetes parulus	bird	180	2	1	0.0000	2	2.00	2.47	-33.4	-35.4	-70.5	-72.3	13.35	14.800	434.0	481.0	0.074257	0.075816	0.075839	0.075839	0.077720	0.073510	0.079295	LC	6.2	1	species					invertivore		species							
Anisoganathus igniventris	bird	2	1			1			-4.3	-4.3	-79.0	-79.0					0.002210	0.002210	0.002210	0.002210	0.002210		0.008333																		
Anisognathus igniventris	bird	2	1			1			4.6	4.6	-73.7	-73.7	13.6	13.6	1861.0	1861.0	0.014706	0.014706	0.014706	0.014706	0.014706			LC	34	1	species					invertivore	frugivore	species							
Anisognathus lacrymosus	bird	12	2	4	0.0000	2	9.49	9.97	5.0	-4.3	-75.4	-79.0	13.000	13.000	2500.0	2500.0	0.010929	0.010701	0.010706	0.010706	0.011050	0.006401	0.022857	LC	31	1	species					frugivore		species							
Anisognathus somptuosus	bird	14	2	2	0.0000	2	10.23	9.34	10.4	5.0	-67.7	-75.4	13.000	15.500	1700.0	2500.0	0.024867	0.021497	0.022637	0.022637	0.029730	0.006944	0.032184	LC	42	1	species					frugivore	invertivore	species							
Anthracothorax nigricollis	bird	12	5	37	0.0541	4	28.78	60.61	9.3	-19.6	-35.4	-79.1	26.100	26.100	1000.0	1951.0	0.005944	0.007394	0.012048	0.019841	0.022857	0.000567	0.001893	LC	7	1	species					nectarivore		species							
Anthracothorax prevostii	bird	58	5	3	0.6667	5	3.63	8.55	20.4	13.7	-85.8	-88.5	24.400	26.700	1505.0	3500.0	0.008277	0.006406	0.005650	0.012001	0.019417	0.003592	0.037037	LC	6.4	1	species					nectarivore		species							
Anthracothroax prevostii	bird	10	1			1			17.2	17.2	-88.7	-88.7	25.75	25.75	2500.0	2500.0	0.042017	0.042017	0.042017	0.042017	0.042017																				
Antilophia galeata	bird	38	3	1	0.0000	3	3.23	6.51	-17.0	-21.8	-45.9	-48.5	19.5	22.500	1442.0	1550.0	0.024772	0.023855	0.031311	0.035817	0.040323	0.029354	0.033369	LC	20.6	1	species					frugivore		species							
Antrostomus arizonae	bird	2	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.005814	0.005814	0.005814	0.005814	0.005814		0.007812	LC																	
Antrostomus badius	bird	2	1			1			20.4	20.4	-86.9	-86.9	25.500	25.500	1505.0	1505.0	0.000799	0.000799	0.000799	0.000799	0.000799		0.009259	LC																	
Antrostomus rufus	bird	1	1			1			-18.7	-18.7	-48.5	-48.5	22.5	22.5	1550.0	1550.0	0.002688	0.002688	0.002688	0.002688	0.002688		0.001754	LC																	
Aphrastura spinicauda	bird	382	2	1	0.0000	2	2.00	2.47	-33.4	-35.4	-70.5	-72.3	13.35	14.800	434.0	481.0	0.157591	0.029746	0.087978	0.087978	0.170775	0.170327	0.168282	LC	11.5	1	species														
Aramu guarauna	bird	1	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.000756	0.000756	0.000756	0.000756	0.000756		0.000181																		
Aratinga aurea	bird	3	2			2	2.77	2.17	-15.6	-17.0	-45.9	-47.6	20.7	22.500	1442.0	1552.0	0.002082	0.001972	0.002034	0.002034	0.002532				86.5	1	species					frugivore		species							
Aratinga leucophthalma	bird	1	1			1			-19.6	-19.6	-56.9	-56.9			1000.0	1000.0	0.005714	0.005714	0.005714	0.005714	0.005714		0.008065		158	1	species					frugivore		species							
Aratinga nana	bird	4	1			1			15.8	15.8	-88.5	-88.5	26.600	26.600	3500.0	3500.0	0.001044	0.001044	0.001044	0.001044	0.001044				76.9	1	species					granivore	frugivore	species							
Aratinga weddellii	bird	2	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.001513	0.001513	0.001513	0.001513	0.001513		0.000362	LC	108	1	species					frugivore	granivore	genus							
Archilochus colubris	bird	48	4	7	0.0000	4	3.30	6.20	17.2	14.3	-88.5	-92.7	25.000	26.85	1993.0	3500.0	0.009505	0.011645	0.018582	0.037652	0.042017	0.006424	0.160000	LC	2.9	1	species					nectarivore		species							
Archilochus culibris	bird	2	1			1			13.7	13.7	-85.8	-85.8	24.400	24.400	2274.0	2274.0	0.004866	0.004866	0.004866	0.004866	0.004866											nectarivore		genus							
Arremon assimilis	bird	3	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.005155	0.005155	0.005155	0.005155	0.005155		0.015306									invertivore	frugivore	genus							
Arremon aurantiirostris	bird	71	10	30	0.2333	6	7.00	18.93	18.5	9.2	-79.7	-95.1	24.400	28.4	1050.0	4260.0	0.019592	0.019855	0.024994	0.032964	0.066667	0.005270	0.011194	LC	34.5	1	species					frugivore	invertivore	species							
Arremon brunneinucha	bird	39	4	8	0.2500	3	12.71	19.31	10.4	-4.3	-67.7	-79.0	13.000	15.500	1700.0	2500.0	0.024952	0.027199	0.040996	0.094410	0.147368	0.008506	0.040625	LC								invertivore	frugivore	genus							
Arremon flavirostris	bird	374	6	6	0.5000	5	8.33	20.03	-18.7	-27.2	-48.5	-65.6	18.800	22.5	739.0	1700.0	0.068461	0.034515	0.045808	0.070980	0.084058	0.059055	0.124587	LC	26.1321640894894	2	species					invertivore		species							
Arremon taciturnus	bird	188	11	20	0.3500	7	15.50	52.90	7.8	-10.2	-35.0	-71.0	24.000	26.000	1300.0	3500.0	0.027441	0.014773	0.019868	0.047927	0.222973	0.018530	0.012212	LC	24.8	1	species					invertivore	frugivore	species							
Arremon torquatus	bird	28	3	4	0.0000	2	9.49	9.97	5.0	-4.3	-75.4	-79.0	13.000	13.000	2500.0	2500.0	0.023470	0.034341	0.041451	0.052304	0.063158	0.009246	0.034568	LC								invertivore	frugivore	genus							
Arremonops chloronotus	bird	40	5	3	0.6667	3	2.39	4.46	18.5	16.5	-88.7	-92.1	26.000	27.000	1500.0	3035.0	0.035556	0.027060	0.090909	0.120000	0.146789	0.113150	0.044828	LC	27.4	1	species					granivore	frugivore	genus							
Arremonops conirostris	bird	33	7	20	0.0500	3	13.66	22.97	13.7	9.0	-64.2	-85.8	24.400	27.000	436.0	2274.0	0.006360	0.008106	0.008000	0.011825	0.027344	0.000482	0.016970	LC	35.264996809868	2	species					frugivore	invertivore	species							
Arremonops rufivirgatus	bird	3	2	6	0.0000	2	3.57	4.20	16.5	13.7	-85.8	-89.1	24.400	26.25	2274.0	3035.0	0.005310	0.005413	0.006996	0.006996	0.011429	0.000210		LC	23.2	1	species					granivore	invertivore	species							
Asthenes fuliginosa	bird	1	1			1			-4.3	-4.3	-79.0	-79.0					0.001105	0.001105	0.001105	0.001105	0.001105		0.004167	LC																	
Asthenes griseomurina	bird	2	1			1			-4.3	-4.3	-79.0	-79.0					0.002210	0.002210	0.002210	0.002210	0.002210		0.008333	LC																	
Asthenes humicola	bird	52	2	1	0.0000	2	2.00	2.47	-33.4	-35.4	-70.5	-72.3	13.35	14.800	434.0	481.0	0.021452	0.035902	0.047152	0.047152	0.077720	0.016136	0.022907		20.8386659841747	2	species														
Asthenes humilis	bird	3	1			1			-14.1	-14.1	-73.0	-73.0	11.7	11.7	677.0	677.0	0.021127	0.021127	0.021127	0.021127	0.021127			LC	21	1	species														
Asthenes virgata	bird	2	1			1			-14.1	-14.1	-73.0	-73.0	11.7	11.7	677.0	677.0	0.014085	0.014085	0.014085	0.014085	0.014085			LC	22	1	species														
Atalotriccus pilaris	bird	55	5	8	0.3750	4	8.23	15.78	10.7	9.0	-63.7	-79.6	23	27.300	430.0	2000.0	0.010738	0.017230	0.015152	0.090226	0.163265	0.007343	0.043548	LC								invertivore		species							
Atlapetes albinucha	bird	20	3	9	0.0000	2	9.37	10.68	10.3	5.0	-75.4	-84.8	13.000	18.500	2500.0	2500.0	0.015221	0.014704	0.020134	0.020430	0.020725	0.000000	0.014035	LC	33.8416902651153	2	species					frugivore	invertivore	species							
Atlapetes brunneinucha	bird	11	2	10	0.0000	2	9.95	10.65	10.3	4.7	-75.6	-84.8	16.800	18.500	2500.0	2630.0	0.019856	0.025847	0.028351	0.028351	0.040000	0.002797	0.037500									frugivore	invertivore	genus							
Atlapetes citrinellus	bird	12	3			2	3.00	2.62	-24.8	-27.2	-64.7	-65.6	18.800	20.000	739.0	1700.0	0.003704	0.005385	0.004237	0.009931	0.015625		0.009646	LC	28	1	species					frugivore	invertivore	genus							
Atlapetes gutturalis	bird	18	2	4	0.0000	2	6.34	7.27	15.3	10.3	-84.8	-90.2	18.500	18.500	2500.0	2500.0	0.032316	0.029266	0.029522	0.029522	0.033403	0.000000										frugivore	invertivore	genus							
Atlapetes latinuchus	bird	30	2			2	3.00	3.12	-4.3	-7.4	-78.8	-79.0	15.45	15.45	895.0	895.0	0.020175	0.018943	0.019334	0.019334	0.023204		0.068807	LC	26.8081971657986	3	species					frugivore	invertivore	genus							
Atlapetes pallidinucha	bird	9	2	3	0.0000	2	9.43	10.33	4.6	-4.3	-73.7	-79.0	13.6	13.6	1861.0	1861.0	0.008646	0.010665	0.011220	0.011220	0.014706	0.004975	0.029167	LC	36.1	1	species					frugivore	invertivore	genus							
Atlapetes pileatus	bird	11	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.031977	0.031977	0.031977	0.031977	0.031977		0.042969	LC	24	1	species					frugivore	invertivore	genus							
Atlapetes schistaceus	bird	9	2			2	2.23	1.73	5.0	4.6	-73.7	-75.4	13.000	13.6	1861.0	2500.0	0.027356	0.017458	0.024402	0.024402	0.041451		0.028070	LC	28.0485293732131	2	species					frugivore	invertivore	genus							
Atlapetes seebohmi	bird	14	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.024055	0.024055	0.024055	0.024055	0.024055		0.071429	LC								frugivore	invertivore	genus							
Atlapetes torquatus	bird	19	1			1			-24.8	-24.8	-64.7	-64.7	20.000	20.000	739.0	739.0	0.148438	0.148438	0.148438	0.148438	0.148438		0.431818									frugivore	invertivore	genus							
Atthis ellioti	bird	1	1			1			15.3	15.3	-92.7	-92.7	26.85	26.85	1993.0	1993.0	0.001387	0.001387	0.001387	0.001387	0.001387		0.006667	LC	2.9	1	species														
Attila cinnamomeus	bird	2	2	2	0.0000	2	14.20	15.40	7.8	-3.0	-50.0	-61.1	26.000	26.000	1631.0	1631.0	0.000721	0.001112	0.001715	0.001715	0.003021	0.000000	0.005000	LC	38.8	1	species					invertivore		species							
Attila rufus	bird	4	3	1	0.0000	2	1.84	2.49	-23.2	-23.7	-44.2	-46.9	19.3	23.000	1661.0	1700.0	0.003298	0.003356	0.003484	0.005190	0.006897	0.000000	0.004410	LC	42.6	1	species					invertivore		species							
Attila spadiceus	bird	72	23	69	0.2754	16	19.75	85.65	20.4	-14.1	-50.0	-95.1	24.000	28.4	1050.0	4260.0	0.005067	0.005941	0.006993	0.011602	0.017143	0.001857	0.005768	LC	39.1	1	species					invertivore		species							
Aulacorhynchus caeruleogularis	bird	11	2			1		0	10.3	10.3	-84.8	-84.8	18.500	18.500	2500.0	2500.0	0.009813	0.009792	0.009795	0.009795	0.010067			LC								frugivore		genus							
Aulacorhynchus prasinus	bird	10	4	10	0.2000	3	6.29	10.82	10.3	5.0	-75.4	-84.8	13.000	18.500	2500.0	2550.0	0.012136	0.010708	0.013194	0.014251	0.014614	0.003196	0.003509	LC	170.563814286399	3	species					frugivore		species							
Aulacorhynchus sulcatus	bird	1	1			1			10.4	10.4	-67.7	-67.7	15.500	15.500	1700.0	1700.0	0.002703	0.002703	0.002703	0.002703	0.002703		0.006667	LC	167	1	species					frugivore		species							
Automolus infuscatus	bird	111	8	12	0.3333	6	11.39	31.33	7.8	-3.4	-54.9	-76.2	24.000	26.700	1631.0	3500.0	0.015889	0.013010	0.012771	0.016743	0.027083	0.010615	0.011997	LC	32.9	1	species					invertivore		species							
Automolus leucophthalmus	bird	30	3	6	0.1667	3	7.11	12.31	-14.5	-23.6	-39.1	-46.6	18.000	24.000	1400.0	2000.0	0.030303	0.027891	0.030201	0.042878	0.055556	0.010412	0.080769	LC	34.5	1	species					invertivore		species							
Automolus ochrolaemus	bird	111	20	59	0.2881	12	20.71	76.33	17.1	-14.1	-52.6	-95.1	24.400	28.4	1050.0	4260.0	0.010221	0.009844	0.012755	0.020494	0.031915	0.003542	0.007053	LC	40.2	1	species					invertivore		species							
Automolus paraensis	bird	2	1			1			-3.0	-3.0	-50.0	-50.0					0.006042	0.006042	0.006042	0.006042	0.006042		0.010000									invertivore		genus							
Automolus rubiginosus	bird	12	5	36	0.0833	5	17.34	38.29	15.3	-2.4	-59.7	-90.2	24.000	26.700	2274.0	3500.0	0.005170	0.006204	0.008000	0.008197	0.025641	0.000529	0.002604	LC	39.8	1	species					invertivore		species							
Automolus rufipileatus	bird	2	1			1			-9.8	-9.8	-67.7	-67.7	26.000	26.000	1875.0	1875.0	0.019608	0.019608	0.019608	0.019608	0.019608		0.025000	LC	34.8	1	species					invertivore		species							
Automolus subulatus	bird	3	1			1			-0.6	-0.6	-76.2	-76.2	25.000	25.000	3100.0	3100.0	0.008197	0.008197	0.008197	0.008197	0.008197		0.015625									invertivore		genus							
Baryphthengus martii	bird	1	1			1			13.7	13.7	-85.8	-85.8	24.400	24.400	2274.0	2274.0	0.002667	0.002667	0.002667	0.002667	0.002667			LC	165.027270473701	2	species					omnivore		species							
Baryphthengus ruficapillus	bird	90	8	58	0.0862	7	26.86	61.35	10.4	-23.2	-43.0	-84.0	21.000	27.000	1200.0	4260.0	0.014563	0.004599	0.002915	0.012893	0.044058	0.003373	0.002136	LC	141.654509282268	2	species					invertivore	frugivore	species							
Barypthengus martin	bird	1	1			1			9.2	9.2	-79.7	-79.7	27.000	27.000	2750.0	2750.0	0.002445	0.002445	0.002445	0.002445	0.002445		0.006250																		
Basileuterus belli	bird	24	2	9	0.0000	2	6.91	9.15	20.1	15.3	-90.2	-98.4	16.85	16.85	1107.0	1107.0	0.056872	0.048456	0.049754	0.049754	0.061047	0.000000	0.082031	LC	10.7	1	species					invertivore		genus							
Basileuterus bivittatus	bird	23	1			1			-24.8	-24.8	-64.7	-64.7	20.000	20.000	739.0	739.0	0.179688	0.179688	0.179688	0.179688	0.179688		0.522727	LC	14.6	1	species					invertivore		genus							
Basileuterus coronatus	bird	12	2			1		0.00	4.7	4.7	-75.6	-75.6	16.800	16.800	2630.0	2630.0	0.088889	0.089443	0.090000	0.090000	0.100000		0.075000	LC	16.3	1	species					invertivore		species							
Basileuterus culicivorus	bird	527	17	87	0.1494	11	30.34	105.46	17.1	-27.2	-35.2	-95.1	18.000	28.4	1050.0	2500.0	0.049340	0.014930	0.019048	0.040000	0.134434	0.004868	0.136852	LC	10.5	1	species					invertivore		species							
Basileuterus delatrii	bird	5	2			1		0	9.0	9.0	-79.6	-79.6	27.000	27.000	2000.0	2000.0	0.018727	0.020378	0.020556	0.020556	0.023256											invertivore		genus							
Basileuterus flaveolus	bird	134	6	8	0.3750	6	6.09	19.30	-16.3	-23.8	-45.9	-56.8	20.5	22.55	1200.0	1550.0	0.041980	0.041433	0.048613	0.064358	0.087302	0.024977	0.037931	LC	13.1996212066862	2	species					invertivore		species							
Basileuterus hypoleucus	bird	68	3	1	0.0000	3	6.13	10.16	-10.2	-18.7	-45.9	-48.5	22.500	24.000	1300.0	1550.0	0.058020	0.041888	0.026846	0.081971	0.137097	0.000000	0.089474	LC	11.4	1	species					invertivore		species							
Basileuterus lachrymosa	bird	3	1			1			15.3	15.3	-92.7	-92.7	26.85	26.85	1993.0	1993.0	0.017751	0.017751	0.017751	0.017751	0.017751		0.062500									invertivore		genus							
Basileuterus leucoblepharus	bird	103	3	1	1.0000	2	2.20	2.06	-21.8	-23.7	-46.6	-46.9	18.000	19.5	1400.0	1661.0	0.059094	0.043116	0.041946	0.075218	0.108491	0.041946	0.120187	LC	15.1	1	species					invertivore		species							
Basileuterus leucophrys	bird	17	1			1			-21.8	-21.8	-46.6	-46.6	19.5	19.5	1500.0	1500.0	0.033268	0.033268	0.033268	0.033268	0.033268		0.047354	LC	18.1	1	species					invertivore		species							
Basileuterus melanogenys	bird	18	2			1		0	9.6	9.6	-81.7	-81.7	13.250	13.250	2550.0	2550.0	0.118421	0.106230	0.115972	0.115972	0.162500			LC	11.8	1	species					invertivore		genus							
Basileuterus nigricristatus	bird	13	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.022337	0.022337	0.022337	0.022337	0.022337		0.066327									invertivore		genus							
Basileuterus nigrocristatus	bird	1	1			1			4.6	4.6	-73.7	-73.7	13.6	13.6	1861.0	1861.0	0.007353	0.007353	0.007353	0.007353	0.007353			LC	13.6477104306913	2	species					invertivore		species							
Basileuterus rivularis	bird	31	3	1	0.0000	3	8.63	15.53	7.8	-3.4	-52.6	-61.1	25.05	26.000	1631.0	2115.0	0.007649	0.004203	0.008427	0.009739	0.011052	0.000000	0.002193		13.5	1	species					invertivore		species							
Basileuterus rufifrons	bird	102	5	8	0.1250	2	7.70	9.30	15.3	10.3	-84.8	-92.7	18.500	26.85	1993.0	2500.0	0.040964	0.031582	0.041420	0.055369	0.068571	0.023538	0.151515	LC	10.4	1	species					invertivore		genus							
Basileuterus signatus	bird	2	1			1			-24.8	-24.8	-64.7	-64.7	20.000	20.000	739.0	739.0	0.015625	0.015625	0.015625	0.015625	0.015625		0.045455	LC	11.3	1	species					invertivore		species							
Basileuterus trifasciatus	bird	21	2			2	3.00	3.12	-4.3	-7.4	-78.8	-79.0	15.45	15.45	895.0	895.0	0.014122	0.012324	0.013135	0.013135	0.017680		0.048165	LC	9.7	1	species					invertivore		genus							
Basileuterus tristriatus	bird	47	4	12	0.0000	3	12.48	20.31	10.4	4.7	-67.7	-84.8	15.500	18.500	1700.0	2630.0	0.047764	0.028389	0.063333	0.108333	0.116667	0.000000	0.148387	LC	12.0324561083762	2	species					invertivore		species							
