species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	diet 1	diet 2	diet source	home range	female range	male range	daily range	daily movement	population density	home range habitat
Veniliornis spilogaster	bird	1	1			1			-23.6	-23.6	-46.6	-46.6	18.000	18.000	1400.0	1400.0	0.001678	0.001678	0.001678	0.001678	0.001678		0.007143	LC	40.3	1	species					invertivore		species							
Vermivora chrysoptera	bird	4	3	1	0.0000	2	2.79	3.34	15.8	13.7	-85.8	-88.5	24.400	26.600	2274.0	3500.0	0.000870	0.001528	0.002667	0.003897	0.005128	0.000000		NT	8.9	1	species					invertivore		species							
Vermivora cyanoptera	bird	9	4	11	0.0909	4	4.32	9.15	18.4	15.3	-88.5	-94.9	25.6	26.85	1873.0	3500.0	0.001824	0.003361	0.002794	0.012590	0.020979	0.000928	0.011429	LC								invertivore		genus							
Vireo altiloquus	bird	1	1			1			10.4	10.4	-64.2	-64.2	26.35	26.35	436.0	436.0	0.000305	0.000305	0.000305	0.000305	0.000305		0.001263	LC	18.9743488716112	7	species					invertivore	frugivore	genus							
Vireo bairdi	bird	215	1			1			20.4	20.4	-86.9	-86.9	25.500	25.500	1505.0	1505.0	0.085863	0.085863	0.085863	0.085863	0.085863		0.995370	LC	12	1	species					invertivore	frugivore	genus							
Vireo bellii	bird	1	1			1			14.3	14.3	-90.8	-90.8	25.000	25.000	2000.0	2000.0	0.003876	0.003876	0.003876	0.003876	0.003876			NT	8.5	1	species					invertivore		species							
Vireo chivi	bird	12	3	17	0.0000	3	23.98	40.23	-6.7	-20.8	-35.2	-67.9	20.5	26.100	1400.0	1951.0	0.007505	0.012574	0.015873	0.024493	0.033113	0.001646	0.001715									omnivore		species							
Vireo flavifrons	bird	4	3	26	0.0385	3	10.08	17.77	18.4	9.2	-79.8	-94.9	18.500	27.000	1873.0	2600.0	0.004728	0.006031	0.006993	0.008169	0.009346	0.000168	0.005618	LC	18	1	species					invertivore		species							
Vireo flavoviridis	bird	26	4	30	0.0667	4	16.18	34.56	15.8	-9.9	-67.9	-88.5	18.500	26.600	1951.0	3500.0	0.004331	0.004945	0.011558	0.024795	0.027778	0.001921	0.001438	LC	17.5974429960719	2	species					invertivore	frugivore	species							
Vireo flavoviridus	bird	6	1			1			9.0	9.0	-79.6	-79.6	27.000	27.000	2000.0	2000.0	0.026786	0.026786	0.026786	0.026786	0.026786											invertivore	frugivore	genus							
Vireo gilvus	bird	3	1			1			15.3	15.3	-92.7	-92.7	26.85	26.85	1993.0	1993.0	0.004161	0.004161	0.004161	0.004161	0.004161		0.020000	LC	12.6747781045666	2	species					invertivore		species							
Vireo griseus	bird	51	6	12	0.2500	4	5.47	11.06	20.4	15.8	-86.9	-94.9	25.500	26.600	1505.0	3500.0	0.007485	0.018395	0.021928	0.039062	0.111888	0.010120	0.036765	LC	11.4	1	species					invertivore	frugivore	species							
Vireo huttoni	bird	1	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.002907	0.002907	0.002907	0.002907	0.002907		0.003906	LC	11.3	1	species					invertivore		species							
