species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	forearm length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source
Myotis fortidens	bat	2	1			1			16.4	16.4	-94.6	-94.6	27.600	27.600	932.0	932.0	0.010471	0.010471	0.010471	0.010471	0.010471		0.111111	LC	5.3661123815039	25	species														invertivore		genus
Myotis keaysi	bat	68	12	56	0.1429	10	21.52	70.03	21.0	-17.1	-65.5	-96.9	15.200	27.600	932.0	5942.0	0.008308	0.005659	0.003541	0.017533	0.153153	0.001830	0.043686	LC	6.94514955803254	3	species														invertivore		species
Myotis levis	bat	5	3	9	0.1111	3	7.19	13.68	-22.0	-29.7	-43.9	-53.7	18.7	20.15	1520.0	1946.0	0.006329	0.006794	0.007557	0.010357	0.013158	0.001236	0.008013	LC	5.49267554253915	38	species														invertivore		species
Myotis nigricans	bat	364	51	107	0.4486	40	21.59	166.17	10.4	-30.3	-36.9	-85.1	15.900	29.500	573.0	7850.0	0.016820	0.015262	0.015385	0.029138	0.174603	0.008831	0.035183	LC	5.09853866526271	47	species	3.96862696659689	2			11	34.6	43	7	13.6		35	78		invertivore		species
Myotis pilosatibialis	bat	5	1			1			10.4	10.4	-67.3	-67.3	14.500	14.500	1250.0	1250.0	0.076923	0.076923	0.076923	0.076923	0.076923		0.075758		5.97780816548153		genus														invertivore		genus
Myotis riparius	bat	129	23	86	0.2209	20	22.61	118.80	8.8	-26.8	-41.0	-80.3	16.200	27.000	903.0	3374.0	0.007740	0.008044	0.007941	0.015079	0.200000	0.003706	0.015527	LC	5.92243989285148	23	species	6	8	5.5	9										invertivore		species
Myotis ruber	bat	7	3	5	0.0000	3	4.27	8.60	-20.1	-23.1	-43.9	-51.0	18.7	21.45	1504.0	1946.0	0.006897	0.007071	0.006873	0.009635	0.012397	0.001256	0.011730	NT	6.75277720645365	2	species														invertivore		species
Myotis simus	bat	5	4	6	0.0000	3	10.59	16.84	-4.0	-14.7	-66.4	-75.6	22.600	26.000	1900.0	2800.0	0.001836	0.003288	0.004156	0.008782	0.013158	0.000000	0.008032	DD	7.59366970566592	3	species														invertivore		species
Myotis velifer	bat	1	1			1			19.9	19.9	-96.9	-96.9	23.000	23.000	2036.0	2036.0	0.009009	0.009009	0.009009	0.009009	0.009009		0.006803	LC	8.63647824939587	29	species	8.52525659437885	2	9.52430420855024	12										invertivore		species
Myotis yumanensis	bat	1	1			1			21.4	21.4	-100.5	-100.5	16.000	16.000	332.0	332.0	0.009709	0.009709	0.009709	0.009709	0.009709		0.000928	LC	4.79510871075758	33	species			4.9	10										invertivore		species
Natalus stramineus	bat	16	6	73	0.0411	5	25.72	65.86	21.0	-17.5	-54.4	-103.9	22.000	27.000	819.0	4964.0	0.002463	0.002601	0.002968	0.004165	0.006623	0.000422	0.007722	LC	5.25231616441106	25	species														invertivore		species
Noctilio albiventris	bat	102	14	71	0.1408	11	22.96	72.52	9.5	-22.8	-36.9	-75.9	20.000	28.000	650.0	3116.0	0.018221	0.014059	0.012500	0.030436	0.118943	0.003521	0.032801	LC	32.9205460299993	24	species					22	53	65		18	13.4	12	77	7	invertivore		species
Noctilio labialis	bat	54	2	1	0.0000	2	2.23	2.46	10.4	8.6	-83.5	-85.1	23.6	25.000	1700.0	6000.0	0.081694	0.030916	0.077300	0.077300	0.148148	0.145299			29.5823713604632	7	species														invertivore		species
Noctilio leporinus	bat	387	19	116	0.1293	18	30.68	97.30	20.5	-23.5	-37.1	-95.0	20.15	27.000	819.0	7850.0	0.028614	0.008204	0.010101	0.021880	0.161089	0.007621	0.180459	LC	63.3258358405165	35	species	67.9705818718657	2	73.1529912076832	3										piscivore		species
Nyctinomops laticaudatus	bat	32	4	75	0.0133	4	38.85	67.12	21.0	-23.1	-43.9	-90.5	24.55	26.35	819.0	1240.0	0.009112	0.006172	0.012711	0.044524	0.065217	0.000119	0.015152	LC	10.4397455935422	3	species														invertivore		species
Nyctinomops macrotis	bat	2	1			1			-23.1	-23.1	-43.9	-43.9	24.55	24.55	1240.0	1240.0	0.001765	0.001765	0.001765	0.001765	0.001765			LC	22.8035085019828	2	species														invertivore		species
Parastrellus hesperus	bat	4	1			1			21.4	21.4	-100.5	-100.5	16.000	16.000	332.0	332.0	0.038835	0.038835	0.038835	0.038835	0.038835		0.003711		3.7	19	species														invertivore		species
Peropteryx kappleri	bat	1	1			1			-14.1	-14.1	-66.4	-66.4	26.000	26.000	2000.0	2000.0	0.002203	0.002203	0.002203	0.002203	0.002203		0.003115	LC	13.2772331778807	3	species			16.9988234887006	2										invertivore		species
Peropteryx leucoptera	bat	21	2	1	0.0000	2	19.01	18.74	-2.4	-4.0	-54.7	-73.4	25.4	26.000	2000.0	2800.0	0.008213	0.005625	0.015839	0.015839	0.030645	0.000000	0.065517	LC	6	1	species			6	1	17	45	50		16.2		15	65	6.5	invertivore		genus
Peropteryx macrotis	bat	41	8	87	0.0575	8	23.61	77.75	17.2	-22.5	-35.1	-89.6	20.55	26.25	573.0	3374.0	0.007988	0.008060	0.005685	0.077509	0.153846	0.001205	0.002994	LC	5.85197833401419	19	species	6.59349150591463	4	6	2		40.8								invertivore		species
Phylloderma stenops	bat	22	12	82	0.1098	11	24.57	100.88	16.8	-22.5	-39.1	-91.1	22.500	29.500	910.0	2800.0	0.002340	0.002552	0.002102	0.004689	0.011111	0.000626	0.004599	LC	48.4000548026211	15	species			59.5	1										invertivore		species
Phyllostomus discolor	bat	592	47	105	0.4000	36	26.56	161.59	18.4	-23.0	-35.1	-95.0	20.000	29.500	872.0	7850.0	0.024914	0.016265	0.014925	0.037936	0.279570	0.012436	0.055624	LC	40.2673453811731	72	species														invertivore		species
Phyllostomus elongatus	bat	139	14	26	0.3846	13	16.55	80.14	4.9	-15.3	-39.1	-73.4	20.55	29.500	1077.0	3374.0	0.014683	0.013371	0.014729	0.028530	0.116667	0.010630	0.025214	LC	35.8181292621882	25	species														invertivore	carnivore	species
Phyllostomus hastatus	bat	422	46	94	0.4468	36	22.90	152.43	10.4	-23.4	-37.1	-85.1	14.500	29.500	872.0	6000.0	0.015330	0.010188	0.009301	0.015957	0.112760	0.011394	0.038328	LC	100.322797374663	74	species														invertivore		species
Phyllostomus latifolius	bat	2	1			1			-11.0	-11.0	-55.8	-55.8	24.000	24.000	2500.0	2500.0	0.005935	0.005935	0.005935	0.005935	0.005935		0.004630	LC	62.3305989077173		genus														invertivore	carnivore	species
Platyrrhinus albericoi	bat	3	1			1			-10.1	-10.1	-75.6	-75.6	22.600	22.600	2300.0	2300.0	0.011719	0.011719	0.011719	0.011719	0.011719		0.041667	LC	61.1555394056826	2	species	61.1555394056826	2												frugivore		genus
Platyrrhinus brachycephalus	bat	37	8	22	0.1818	4	17.82	39.35	-1.0	-17.1	-46.6	-73.4	24.600	26.000	1900.0	5942.0	0.006954	0.005185	0.003749	0.009999	0.038710	0.000901	0.029805	LC	13.7297064000511	21	species														frugivore		species
Platyrrhinus dorsalis	bat	20	3	7	0.0000	3	8.16	13.78	10.4	4.8	-68.8	-78.5	15.200	25.500	1941.0	2724.0	0.039920	0.042628	0.039660	0.044830	0.050000	0.000000	0.078431	LC	27	1	species														frugivore		species
Platyrrhinus fusciventris	bat	2	1			1			-11.0	-11.0	-55.8	-55.8	24.000	24.000	2500.0	2500.0	0.005935	0.005935	0.005935	0.005935	0.005935		0.004630		23.4591305334025		genus														frugivore		species
Platyrrhinus helleri	bat	410	36	68	0.4412	22	23.14	105.46	18.4	-20.5	-48.5	-95.0	14.500	27.000	1100.0	7850.0	0.017733	0.013029	0.011166	0.031299	0.078947	0.010412	0.042082	LC	15.6265120741802	54	species	16.4	1	16.0324670590649	2										frugivore		species
Platyrrhinus incarum	bat	15	6	15	0.1333	4	19.01	38.60	-1.0	-14.6	-46.1	-75.6	22.600	26.75	1500.0	3374.0	0.020576	0.019438	0.020868	0.027494	0.042735	0.001178	0.048232		23.4591305334025		genus														frugivore		species
Platyrrhinus infuscus	bat	58	6	12	0.0000	3	12.78	18.49	-4.0	-17.1	-65.5	-75.6	22.600	26.000	2300.0	5942.0	0.012234	0.008715	0.006620	0.014125	0.117188	0.005486	0.063073	LC	43.5197437217191	54	species														frugivore		species
Platyrrhinus lineatus	bat	865	42	59	0.6441	32	11.08	79.21	-3.0	-25.1	-35.1	-66.4	18.7	28	573.0	2000.0	0.050026	0.035967	0.040876	0.092855	0.365385	0.037287	0.122085	LC	22.7112792087774	54	species														frugivore		species
Platyrrhinus masu	bat	56	2	4	0.0000	2	10.62	9.66	-10.1	-16.2	-67.9	-75.6	20.400	22.600	2300.0	2900.0	0.029630	0.026780	0.027019	0.027019	0.030600	0.013405	0.097902	LC	27.3417868737845	12	species	27.3167987777316	3	30.2643308005599	3										frugivore		genus
Platyrrhinus matapalensis	bat	4	1			1			-3.8	-3.8	-80.3	-80.3			1450.0	1450.0	0.005135	0.005135	0.005135	0.005135	0.005135			NT	17.8885438199983	2	species	20	1	16	1										frugivore		genus
Platyrrhinus nigellus	bat	4	1			1			-10.1	-10.1	-75.6	-75.6	22.600	22.600	2300.0	2300.0	0.015625	0.015625	0.015625	0.015625	0.015625		0.055556	LC	21.0863877746336	17	species														frugivore		genus
Platyrrhinus recifinus	bat	123	13	49	0.2041	10	11.09	48.84	-5.2	-23.1	-39.1	-77.1	18.7	27.3	903.0	1946.0	0.011920	0.012081	0.015982	0.025596	0.068729	0.004480	0.034128	LC	17.7	6	species														frugivore		species
Platyrrhinus umbratus	bat	4	2			1		0.01	10.4	10.4	-67.3	-67.3	14.500	14.500	1250.0	1250.0	0.041667	0.038585	0.056079	0.056079	0.096774		0.030303	DD	23.4591305334025		genus					15	47	72		26.3	15			10	frugivore		species
Platyrrhinus vittatus	bat	10	2	6	0.0000	2	10.76	10.09	10.4	4.8	-67.3	-75.8	14.500	15.200	1250.0	2724.0	0.026042	0.028678	0.028877	0.028877	0.032258	0.000000	0.050505	LC	62.3	3	species														frugivore		genus
Promops centralis	bat	72	5	52	0.0192	3	34.97	54.19	21.0	-22.6	-57.4	-89.6	25.000	26.35	1048.0	2000.0	0.028436	0.019445	0.027778	0.034604	0.047619	0.000182	0.050847	LC	29.0397575330061	57	species	29.1112786076069	20	29.3	35										invertivore		species
Promops nasutus	bat	8	3	7	0.0000	2	9.65	8.24	-16.2	-22.5	-62.3	-67.9	20.400	20.95	986.0	2900.0	0.004574	0.012683	0.050000	0.058333	0.066667	0.001164	0.002000	LC	15.7	7	species														invertivore		genus
Pteronotus davyi	bat	51	11	26	0.3077	6	16.77	40.13	19.4	10.4	-67.4	-105.0	14.500	27.600	788.0	4964.0	0.007834	0.007408	0.005236	0.010104	0.156250	0.003224	0.021988	LC	8.06369423391333	20	species	7.5	1												invertivore		species
Pteronotus gymnonotus	bat	3	2	2	0.0000	2	10.08	9.65	10.4	8.8	-68.8	-78.5	25.500	25.500	1941.0	1941.0	0.014151	0.013639	0.015811	0.015811	0.023810	0.000000	0.024390	LC	13.7364072840428		genus														invertivore		species
Pteronotus parnellii	bat	1196	34	89	0.3371	25	24.15	107.77	21.4	-18.4	-40.9	-105.0	14.500	27.1	332.0	6000.0	0.078104	0.026991	0.027896	0.060207	0.217484	0.031384	0.201462	LC	21.1686618542553	45	species	18	1	20.5345842928271	7										invertivore		species
Pteronotus personatus	bat	9	6	31	0.0968	4	20.24	42.12	10.4	-11.0	-55.8	-83.5	20.55	26.100	1740.0	6000.0	0.005053	0.005106	0.004308	0.006345	0.023438	0.000617	0.009036	LC	7.96225589229632	12	species	10	1	8.65594499266331	3										invertivore		species
Pygoderma bilabiatum	bat	38	12	18	0.3889	9	6.48	22.62	-20.1	-29.7	-43.7	-57.4	18.7	21.700	1400.0	1946.0	0.010848	0.012732	0.011591	0.039189	0.102564	0.004925	0.020113	LC	20.7414311400459	21	species					16.67			10.4				69.5		frugivore		species
Rhinophylla fischerae	bat	43	5	6	0.3333	3	18.04	27.46	-1.0	-4.0	-46.1	-73.4	24.9	26.75	2000.0	3374.0	0.015014	0.016338	0.013514	0.041935	0.051724	0.008373	0.082927	LC	19.1504541966388		genus														frugivore		species
Rhinophylla pumilio	bat	976	17	32	0.4062	13	16.75	74.22	4.7	-15.3	-39.1	-77.1	20.55	29.500	1500.0	3374.0	0.093991	0.042563	0.037171	0.077151	0.375455	0.071663	0.220993	LC	19.1504541966388	37	species														frugivore		species
Rhogeessa aeneus	bat	15	1			1			17.8	17.8	-88.7	-88.7	27.000	27.000	1480.0	1480.0	0.033333	0.033333	0.033333	0.033333	0.033333			LC	4.8100731184994		genus														invertivore		genus
Rhogeessa alleni	bat	5	1			1			21.4	21.4	-100.5	-100.5	16.000	16.000	332.0	332.0	0.048544	0.048544	0.048544	0.048544	0.048544		0.004638	LC	4.8100731184994		genus														invertivore		genus
Rhogeessa hussoni	bat	1	1			1			-13.0	-13.0	-68.9	-68.9	25.000	25.000	2000.0	2000.0	0.015873	0.015873	0.015873	0.015873	0.015873		0.016949	DD	4.8100731184994		genus					12.5	28.6	50	6.1	13.2	8.9	31	81	4.9	invertivore		genus
Rhogeessa io	bat	7	5	40	0.0250	5	21.32	58.72	10.4	-17.1	-36.9	-68.9	20.400	28	650.0	5942.0	0.002415	0.005178	0.005391	0.020000	0.043478	0.000117	0.005814	LC	4.8100731184994		genus					11.6	28.8	40	6.3	12.5	8.3	30	70	4.8	invertivore		genus
Rhogeessa parvula	bat	11	5	23	0.1304	3	11.45	21.34	19.4	10.4	-85.1	-105.0	23.6	27.600	788.0	1700.0	0.009450	0.010341	0.007092	0.019868	0.021505	0.000596	0.016807	LC	4.56548739182322	9	species	6.11391854705311	2												invertivore		genus
Rhogeessa tumida	bat	9	4	1	0.0000	2	10.00	11.39	21.0	10.4	-85.1	-89.6	23.6	26.35	1048.0	1700.0	0.003233	0.003887	0.004337	0.006676	0.007653	0.000000		LC	5.00207358158797	9	species			5.5	1										invertivore		species
Rhogeessa velilla	bat	4	1			1			-3.8	-3.8	-80.3	-80.3			1450.0	1450.0	0.005135	0.005135	0.005135	0.005135	0.005135				4.8100731184994		genus														invertivore		genus
Rhynchonycteris naso	bat	43	13	51	0.1961	12	23.58	95.44	17.8	-14.1	-35.1	-88.7	20.55	27.000	1025.0	3374.0	0.005311	0.005158	0.006452	0.008889	0.020236	0.002268	0.010326	LC	3.71181181520177	4	species														invertivore		species
Saccopteryx bilineata	bat	99	25	73	0.2877	20	22.42	109.40	20.5	-15.3	-39.1	-95.0	20.55	29.500	819.0	6000.0	0.005548	0.004832	0.003497	0.005556	0.209459	0.002988	0.006517	LC	7.89621294847985	38	species	6.64830805543786	2												invertivore		species
Saccopteryx canescens	bat	11	5	5	0.4000	5	10.84	29.24	10.2	-2.4	-48.5	-68.0	23.000	26.700	964.0	3374.0	0.002929	0.003652	0.004785	0.005342	0.014599	0.003121	0.004060	LC	4.68872566491055	6	species						37.5			13.7	7.7			4.7	invertivore		species
Saccopteryx gymnura	bat	2	1			1			-1.5	-1.5	-48.5	-48.5	24.9	24.9	3374.0	3374.0	0.001079	0.001079	0.001079	0.001079	0.001079		0.001235	DD	6.24741516060757		genus														invertivore		genus
Saccopteryx leptura	bat	18	8	70	0.0571	8	21.81	73.84	10.4	-23.1	-37.2	-73.4	24.55	26.700	1077.0	3374.0	0.002517	0.003001	0.002967	0.004304	0.021898	0.000466	0.005303	LC	4.81735896489521	6	species	4.3	1	4.3	1										invertivore		species
Sphaeronycteris toxophyllum	bat	1	1			1			10.4	10.4	-68.7	-68.7					0.002695	0.002695	0.002695	0.002695	0.002695		0.008850	DD	14.7561766719454	3	species														frugivore		species
Sturnira aratathomasi	bat	5	1			1			4.8	4.8	-75.8	-75.8	15.200	15.200	2724.0	2724.0	0.014164	0.014164	0.014164	0.014164	0.014164		0.037879	NT	20.1581767353441		genus														frugivore		genus
Sturnira bidens	bat	2	1			1			4.8	4.8	-75.8	-75.8	15.200	15.200	2724.0	2724.0	0.005666	0.005666	0.005666	0.005666	0.005666		0.015152	LC	20.1581767353441		genus														frugivore		species
Sturnira erythromos	bat	887	8	25	0.2000	8	19.87	49.41	10.4	-26.8	-65.4	-75.8	14.500	26.800	1100.0	5942.0	0.213478	0.026422	0.030770	0.125350	0.911543	0.002636	0.040080	LC	16.3979386760898	46	species														frugivore		species
Sturnira hondurensis	bat	60	2			2	2.88	2.91	16.9	16.6	-94.9	-97.9	24.200	27	1050.0	2331.0	0.075853	0.068527	0.073925	0.073925	0.101655		0.160858		20.1581767353441		genus														frugivore		genus
Sturnira lilium	bat	3915	97	142	0.6549	63	31.20	194.20	21.4	-30.3	-35.1	-105.0	15.200	28.000	332.0	5942.0	0.081041	0.048210	0.056789	0.162011	0.678161	0.069145	0.174316	LC	18.6634000180613	603	species	16.1	12	16.7	3	14.4			14.75				71		frugivore		species
Sturnira ludovici	bat	382	14	46	0.2174	9	11.56	43.53	21.4	4.8	-67.3	-100.5	14.500	27.000	783.0	4964.0	0.043159	0.042288	0.071611	0.261944	0.338462	0.013996	0.104841	LC	25	36	species								15	25	14		77	8.4	frugivore		species
Sturnira luisi	bat	103	2	1	0.0000	2	11.40	12.74	8.8	-3.8	-78.5	-80.3	25.500	25.500	1450.0	1941.0	0.124848	0.053352	0.076338	0.076338	0.130937	0.129653	1.000000	LC	20.1581767353441		genus														frugivore		species
Sturnira magna	bat	32	4	9	0.1111	3	11.98	15.86	-4.0	-17.1	-65.5	-73.4	20.400	26.000	2800.0	5942.0	0.006415	0.004550	0.007312	0.011210	0.013643	0.000334	0.016667	LC	48.1	1	species														frugivore		species
Sturnira occidentalis	bat	1	1			1			19.6	19.6	-100.5	-100.5	18.2	18.2	783.0	783.0	0.020408	0.020408	0.020408	0.020408	0.020408				20.1581767353441		genus														frugivore		genus
Sturnira oporaphilum	bat	394	9	26	0.2308	5	18.27	43.54	10.4	-26.8	-65.4	-75.6	16.200	24.600	1350.0	5942.0	0.067190	0.019763	0.015625	0.024259	0.200122	0.038112	0.244389	NT	20.8441499481959	8	species														frugivore		species
Sturnira parvidens	bat	315	4	7	0.2857	2	5.77	6.48	16.9	16.8	-91.1	-97.9	24.200	24.700	2000.0	2331.0	0.182186	0.162400	0.156763	0.303832	0.445652	0.092768	0.678879		16.5	219	species														frugivore		genus
Sturnira tildae	bat	81	10	28	0.2143	9	16.65	63.21	5.0	-16.2	-39.1	-73.4	20.400	29.500	1500.0	3374.0	0.009449	0.011703	0.008912	0.023873	0.058394	0.003002	0.013714	LC	24.4085041574295	14	species														frugivore		species
Tadarida brasiliensis	bat	14	3	69	0.0000	3	37.65	57.21	21.4	-24.1	-65.5	-100.5	15.900	18.2	332.0	1283.0	0.071429	0.072321	0.081633	0.120362	0.159091	0.000297	0.009042	LC	11.3041684744646	100	species	10.8	8	11.3223203545522	25										invertivore		species
Thyroptera devivoi	bat	2	1			1			-3.0	-3.0	-43.1	-43.1	27.000	27.000	1400.0	1400.0	0.004107	0.004107	0.004107	0.004107	0.004107		0.002778	DD	4.25205877821058		genus														invertivore		genus
Thyroptera discifera	bat	1	1			1			-3.8	-3.8	-80.3	-80.3			1450.0	1450.0	0.001284	0.001284	0.001284	0.001284	0.001284			LC	4.25205877821058		genus														invertivore		species
Thyroptera tricolor	bat	11	8	68	0.0735	7	24.98	77.46	18.4	-15.3	-39.1	-95.0	22.600	27.000	1500.0	4964.0	0.001249	0.001475	0.001521	0.003022	0.004167	0.000232	0.004108	LC	4.25205877821058	8	species			3.2	1										invertivore		species
Tonatia bidens	bat	92	10	58	0.1207	9	19.32	64.75	4.9	-23.1	-40.9	-72.4	20.55	27.1	872.0	3052.0	0.016649	0.012453	0.014277	0.018500	0.044177	0.002946	0.031557	DD	29.6635210929387	15	species			26.6	5	28.5			15				113		invertivore		species
Tonatia saurophila	bat	105	16	79	0.1519	15	24.03	95.22	17.8	-21.3	-37.0	-90.8	24.000	29.500	903.0	3374.0	0.010292	0.008661	0.009912	0.020785	0.033333	0.003496	0.017991	LC	27.1406442518767	29	species														invertivore		species
Tonatia schulzi	bat	1	1			1			-2.4	-2.4	-59.7	-59.7	26.700	26.700	2500.0	2500.0	0.001068	0.001068	0.001068	0.001068	0.001068		0.003534		20	1	species														carnivore		species
Trachops cirrhosus	bat	152	34	108	0.2870	29	26.46	133.31	18.4	-23.1	-35.1	-95.0	20.55	29.500	650.0	4900.0	0.007356	0.009037	0.009046	0.021905	0.050000	0.003196	0.016223	LC	31.4417757649285	34	species	31.2617977730008	2	30.2935486190836	4										invertivore	carnivore	species
Trinycteris nicefori	bat	23	9	28	0.1786	9	15.58	54.40	-1.0	-15.3	-37.0	-73.4	24.000	27.000	1400.0	3374.0	0.002969	0.003507	0.002967	0.006452	0.015873	0.001720	0.005874	LC																	invertivore	carnivore	species
Uroderma bilobatum	bat	632	53	77	0.6104	31	23.60	137.21	18.4	-17.1	-37.1	-95.0	14.500	29.500	932.0	6000.0	0.021567	0.015985	0.014898	0.043478	0.213675	0.018528	0.052009	LC	18.0654208695227	232	species	20	6	20	3										frugivore		species
Uroderma magnirostrum	bat	25	11	41	0.1707	10	19.21	66.07	-1.0	-21.3	-37.7	-73.4	22.000	26.200	573.0	5942.0	0.004095	0.008384	0.010101	0.018813	0.130435	0.000743	0.005743	LC	16.5922904146007	6	species	23	1	14	1										frugivore		species
Vampyressa pusilla	bat	262	20	108	0.1296	15	29.66	85.11	18.4	-23.9	-39.1	-95.0	18.7	29.500	1240.0	4964.0	0.019130	0.011357	0.010257	0.017113	0.223656	0.005147	0.058417	DD	9.01826649396946	29	species	10.1	1	8.8	1										frugivore		species
Vampyressa thyone	bat	98	16	56	0.2143	13	20.90	86.34	17.5	-16.2	-55.8	-97.9	14.500	27.600	932.0	6000.0	0.011585	0.008140	0.007225	0.015346	0.029376	0.002425	0.029077	LC	8	1	species					14	31.2409987036266	43		17.9722007556114	10.6442472725881			5.6	frugivore		species
Vampyriscus bidens	bat	287	13	21	0.4286	10	13.66	49.63	5.0	-13.0	-46.1	-77.1	20.55	27.3	1740.0	3374.0	0.041218	0.025839	0.021683	0.043478	0.352688	0.030389	0.093109	LC	13.6448408240123	13	species														frugivore		genus
Vampyriscus brocki	bat	18	5	3	0.6667	5	8.56	22.10	4.7	-4.2	-58.7	-73.4	26.000	29.500	2500.0	3052.0	0.005234	0.004168	0.005556	0.007228	0.007299	0.001465	0.005222	LC	12	1	species														frugivore		species
Vampyriscus nymphaea	bat	21	2	1	0.0000	2	2.23	2.46	10.4	8.6	-83.5	-85.1	23.6	25.000	1700.0	6000.0	0.031770	0.031505	0.032175	0.032175	0.038710	0.022792		LC	13.7823152844612	18	species						36			21	12.2				frugivore		species
Vampyrodes caraccioli	bat	391	15	102	0.1078	9	29.71	96.59	18.4	-23.1	-39.1	-95.0	20.400	27.000	1240.0	5942.0	0.026790	0.009703	0.010963	0.013742	0.170455	0.003849	0.079670	LC	35.9679164481139	101	species					20	52.4785670536077	77		26.642071991495	17			12.2	frugivore		species
Vampyrodes major	bat	143	2			1		0	18.4	18.4	-95.0	-95.0	27.000	27.000	4964.0	4964.0	0.084917	0.082645	0.226230	0.226230	0.436823		0.097279		33.9360416309136	229	species			32.8	12										frugivore		genus
Vampyrum spectrum	bat	16	8	53	0.0755	7	21.88	77.80	18.4	-14.1	-48.5	-95.0	20.55	29.500	1450.0	4900.0	0.002098	0.002262	0.001810	0.003287	0.016667	0.000314	0.004444	NT	169.283125481374	11	species														carnivore		species
