species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	forearm length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source
Eptesicus brasiliensis	bat	58	15	80	0.1375	13	23.63	93.95	10.4	-23.1	-37.2	-75.9	14.500	28.000	910.0	3116.0	0.006129	0.006573	0.008432	0.016846	0.092233	0.001643	0.017351	LC	8.33874405032094	24	species			7.24568837309472	2					15.5	10.1			5.7	invertivore		species
Eptesicus chiriquinus	bat	7	4	46	0.0217	4	23.44	54.20	-1.5	-24.1	-48.5	-80.3	15.900	26.700	1283.0	3374.0	0.001938	0.003406	0.002352	0.012647	0.022727	0.000181	0.002589	LC	9	1	species														invertivore		species
Eptesicus diminutus	bat	5	3	7	0.0000	3	7.69	11.76	-18.4	-29.7	-51.0	-53.7	19.900	23.7	1241.0	1548.0	0.004647	0.005992	0.004132	0.021803	0.039474	0.000000	0.008929	DD	10.6	31	species						35.7	51	10	14.3	9.4	37	88	5.1	invertivore		species
Eptesicus furinalis	bat	153	28	124	0.1855	21	26.77	120.42	21.0	-25.1	-36.9	-96.9	14.500	28	650.0	2900.0	0.017737	0.018304	0.029911	0.046726	0.223301	0.002815	0.041372	LC	9.59632521073645	7	species														invertivore		species
Eptesicus fuscus	bat	14	2			2	2.74	3.71	21.4	19.9	-96.9	-100.5	16.000	23.000	332.0	2036.0	0.065421	0.053725	0.064113	0.064113	0.099099		0.011429	LC	17.1991968695187	147	species	18.3557255035236	11	14.9303904786603	42	17.3291877002135	47.2666431483158	71.7802643417683	9.84703888591393			45.4603607590077	117.240625100776		invertivore		species
Eumops auripendulus	bat	1	1			1			-21.3	-21.3	-41.0	-41.0	24.35	24.35	903.0	903.0	0.010101	0.010101	0.010101	0.010101	0.010101		0.008000	LC	27.3719591057903		genus														invertivore		species
Eumops bonariensis	bat	186	4	6	0.0000	2	14.28	18.02	21.0	8.8	-75.9	-89.6	26.35	28.000	1048.0	1200.0	0.061245	0.025748	0.057185	0.076455	0.084457	0.000000		LC	12.5332896169873	135	species	12.4	91	11.4	32										invertivore		genus
Eumops glaucinus	bat	279	9	84	0.0595	8	24.11	80.39	21.0	-24.4	-43.4	-89.6	20.95	26.35	910.0	2000.0	0.076817	0.016541	0.037975	0.055556	0.153666	0.000453	0.002589	LC	34.9207511052771	177	species	34.3446026968358	86	35.7351300797369	84										invertivore		species
Eumops hansae	bat	19	2	3	0.0000	2	24.08	24.60	10.4	-14.1	-66.4	-67.4	14.500	26.000	1250.0	2000.0	0.028788	0.013873	0.044791	0.044791	0.087379	0.056291	0.049096	LC	16.0390149323454	2	species			16.0390149323454	2	20	38.2	80	8	20.9	12.1	27	107	4.4	invertivore		species
Eumops maurus	bat	3	1			1			-13.0	-13.0	-68.9	-68.9	25.000	25.000	2000.0	2000.0	0.047619	0.047619	0.047619	0.047619	0.047619		0.050847	DD	24	1	species														invertivore		genus
Eumops patagonicus	bat	155	9	21	0.3333	8	7.13	20.61	-13.0	-24.4	-54.7	-68.9	20.95	25.000	986.0	2000.0	0.334052	0.203956	0.175000	0.556962	0.812500	0.024316	0.101695	LC	12.1	18	species														invertivore		genus
Eumops perotis	bat	1	1			1			-20.1	-20.1	-61.8	-61.8					0.021739	0.021739	0.021739	0.021739	0.021739			LC	63.4345033965755	17	species														invertivore		species
Glossophaga commissarisi	bat	148	14	23	0.4348	8	9.54	29.16	19.3	8.6	-78.5	-103.9	22.000	27	1017.0	6000.0	0.023948	0.015336	0.022233	0.025691	0.082742	0.010426	0.041112	LC	9.31553499871917	115	species	7.58353479585872	2	7.3061435740628	3	12.8432377850653	33.4627330474516	51.1922869223166	9.79148362360977			6.78748186266905	57.9797687849857		nectarivore		species
Glossophaga leachii	bat	48	1			1			16.6	16.6	-94.9	-94.9	27	27	1050.0	1050.0	0.113475	0.113475	0.113475	0.113475	0.113475		0.168421	LC	8.26817320912405	10	species	9.2	4	7.7	6	12.458465539004	33.9777326511329	55.7089094915319	8.9578695610696			6.11921220106259	61.8281216925944		nectarivore		species
Glossophaga longirostris	bat	24	2	1	0.0000	2	4.00	4.18	8.8	4.6	-75.9	-75.9	24.000	28.000	1200.0	2500.0	0.028436	0.020847	0.023634	0.023634	0.034768	0.033113	0.076923	DD	12.8841221046894	8	species														nectarivore		species
Glossophaga morenoi	bat	43	5	7	0.1429	5	4.35	10.36	19.6	15.8	-94.9	-103.9	18.2	27	783.0	2331.0	0.028068	0.015813	0.020333	0.020408	0.066194	0.000367	0.079304	LC	10.1636403082353		genus														nectarivore		species
Glossophaga soricina	bat	2212	103	142	0.6972	67	29.85	206.98	21.4	-30.3	-35.1	-105.0	14.500	29.500	332.0	7850.0	0.044810	0.032433	0.035242	0.070770	0.343949	0.039004	0.082437	LC	10.5288910850252	1135	species	8.8	9	9.3	14										nectarivore		species
Glyphonycteris behnii	bat	1	1			1			-18.4	-18.4	-52.0	-52.0	23.7	23.7	1241.0	1241.0	0.001319	0.001319	0.001319	0.001319	0.001319			DD	21.6		genus														invertivore	carnivore	genus
Glyphonycteris daviesi	bat	17	2	6	0.0000	2	27.77	28.91	9.5	-1.5	-48.5	-75.4	24.9	26.800	1100.0	3374.0	0.008682	0.012417	0.071968	0.071968	0.142857	0.009180	0.001235	LC	21.6	5	species														invertivore		species
Glyphonycteris sylvestris	bat	8	6	47	0.0851	6	19.32	59.43	18.4	-11.0	-55.8	-95.0	20.55	29.500	1740.0	4900.0	0.001810	0.002380	0.002488	0.004179	0.005556	0.000285	0.005792	LC	21.6		genus					17	40	50	10.6	19.6	9.6			8	invertivore	carnivore	species
Histiotus macrotus	bat	31	3	1	0.0000	3	3.01	5.99	-22.5	-26.8	-62.3	-65.5	15.900	20.95	986.0	1350.0	0.029637	0.058358	0.053333	0.242576	0.431818	0.007551	0.678571	LC	11.6888041609426	44	species														invertivore		species
Histiotus montanus	bat	1	1			1			-29.7	-29.7	-53.7	-53.7	19.900	19.900	1520.0	1520.0	0.055556	0.055556	0.055556	0.055556	0.055556		0.002976	LC	13.5479616486646	22	species														invertivore		genus
Histiotus velatus	bat	8	3	29	0.0000	3	16.74	24.48	-16.2	-30.3	-51.0	-67.9	19.500	20.400	1300.0	2900.0	0.004016	0.007039	0.008264	0.021374	0.034483	0.000503	0.005576	DD	8.69482604771366	2	species														invertivore		species
Hylonycteris underwoodi	bat	8	3	1	0.0000	2	2.15	2.28	18.4	17.5	-92.8	-95.0	22.000	27.000	3500.0	4964.0	0.001615	0.001553	0.001421	0.002092	0.002762	0.000000	0.003162	LC	7.78038988063749	11	species	10.733126291999	2	6.80786706008826	7										nectarivore		species
Lampronycteris brachyotis	bat	44	10	73	0.0685	8	29.46	83.27	18.4	-17.1	-39.1	-95.0	24.000	27.000	1500.0	5942.0	0.005142	0.004297	0.002675	0.007540	0.101351	0.000864	0.009962	LC	12.0415945787923	2	species	10	1												invertivore	carnivore	species
Lasiurus blossevillii	bat	20	12	119	0.0756	12	30.48	105.60	19.3	-26.8	-41.0	-103.9	16.200	27	903.0	2900.0	0.001931	0.002280	0.002441	0.003522	0.013245	0.000331	0.005047	LC	8.0720697347965	11	species														invertivore		species
Lasiurus cinereus	bat	3	2	68	0.0000	2	55.85	56.81	21.4	-24.1	-65.5	-100.5	15.900	16.000	332.0	1283.0	0.020408	0.021007	0.021072	0.021072	0.022727	0.000000	0.002712	LC	20.6786166566328	46	species	22.4	4	23.820745007951	12										invertivore		species
Lasiurus ega	bat	29	15	89	0.1348	15	23.06	84.84	21.0	-23.5	-42.0	-89.6	20.000	27.000	910.0	2900.0	0.002068	0.003089	0.003367	0.007200	0.052632	0.000528	0.003155	LC	12.8696638598369	5	species			11.3841995766062	2										invertivore		species
Lasiurus egregius	bat	1	1			1			-1.5	-1.5	-48.5	-48.5	24.9	24.9	3374.0	3374.0	0.000540	0.000540	0.000540	0.000540	0.000540		0.000617	DD	14.9732228204993		genus														invertivore		genus
