commonName,genus
Rufous-webbed brilliant,Heliodoxa
Black-throated brilliant,Heliodoxa
Gould's jewelfront,Heliodoxa
Fawn-breasted brilliant,Heliodoxa
Green-crowned brilliant,Heliodoxa
Empress brilliant,Heliodoxa
Violet-fronted brilliant,Heliodoxa
Brazilian Ruby,Heliodoxa
Giant hummingbird,Patagona
Violet-chested hummingbird,Sternoclyta
Scissor-tailed hummingbird,Hylonympha
Rivoli's hummingbird,Eugenes
Talamanca hummingbird,Eugenes
Fiery-throated hummingbird,Panterpe
Long-billed starthroat,Heliomaster
Plain-capped starthroat,Heliomaster
Stripe-breasted starthroat,Heliomaster
Blue-tufted starthroat,Heliomaster
White-bellied mountaingem,Lampornis
Blue-throated mountaingem,Lampornis
Amethyst-throated mountaingem,Lampornis
Green-throated mountaingem,Lampornis
Green-breasted mountaingem,Lampornis
Purple-throated mountaingem,Lampornis
Grey-tailed mountaingem,Lampornis
White-throated mountaingem,Lampornis
Garnet-throated hummingbird,Lamprolaima
Amethyst woodstar,Calliphlox
Purple-collared woodstar,Myrtis
Oasis hummingbird,Rhodopis
Short-tailed woodstar,Myrmia
Peruvian sheartail,Thaumastura
Magenta-throated woodstar,Philodice
Purple-throated woodstar,Philodice
Chilean woodstar,Eulidia
Slender-tailed woodstar,Microstilbon
White-bellied woodstar,Chaetocercus
Little woodstar,Chaetocercus
Gorgeted woodstar,Chaetocercus
Santa Marta woodstar,Chaetocercus
Esmeraldas woodstar,Chaetocercus
Rufous-shafted woodstar,Chaetocercus
Sparkling-tailed woodstar,Tilmatura
Slender sheartail,Doricha
Mexican sheartail,Doricha
Lucifer sheartail,Calothorax
Beautiful sheartail,Calothorax
Black-chinned hummingbird,Archilochus
Ruby-throated hummingbird,Archilochus
Vervain hummingbird,Mellisuga
Bee hummingbird,Mellisuga
Bahama woodstar,Nesophlox
Inagua woodstar,Nesophlox
Anna's hummingbird,Calypte
Costa's hummingbird,Calypte
Calliope hummingbird,Selasphorus
Rufous hummingbird,Selasphorus
Allen's hummingbird,Selasphorus
Broad-tailed hummingbird,Selasphorus
Bumblebee hummingbird,Selasphorus
Wine-throated hummingbird,Selasphorus
Volcano hummingbird,Selasphorus
Scintillant hummingbird,Selasphorus
Glow-throated hummingbird,Selasphorus
Dusky hummingbird,Phaeoptila
Cuban emerald,Riccordia
